imu_challenge_dataset
time_s,gx_rad_s,gy_rad_s,gz_rad_s,ax_m_s2,ay_m_s2,az_m_s2,temp_c
0.0,0.0049934283060224700,-0.0013563296199544600,0.002133191468979990,0.03453710468895960,-0.033506415492820300,9.858044728274880,25.0
0.01,0.0037236808371636200,-0.003562575764896570,0.0006788361934611510,-0.015984586819534200,0.008579881978286570,9.791501763162480,25.00069813168660
0.02,0.0052957959551878400,-0.0006170079851813140,0.0018094962858166000,0.010302424483745300,-0.040165880124245700,9.781020955427350,25.001396263288200
0.03,0.007046688031231930,-0.0031803045046667400,0.001703818133257420,-0.025817126672211400,-0.04858031227307450,9.856665607905750,25.0020943947196
0.04,0.003532531008322080,-0.0005003314199305780,-1.80412512685117E-05,-0.042566763760632300,-0.009880752164597840,9.673423013411650,25.002792525895800
0.05,0.0035327732831211800,-0.0025475248194150800,0.0002892402469054560,-0.0320241008024899,-0.0028489601057995500,9.746229383769880,25.003490656731800
0.06,0.007159682267157520,-0.0054412564938308400,0.002200254344702440,0.11770861432870700,-0.010139284754497100,9.822132645263270,25.00418878714240
0.07,0.005536335533418630,-0.003963855097553340,0.0046241756172828000,-0.019115082916493600,0.0835830943697609,9.851901598401780,25.00488691704270
0.08,0.003062726742034340,-0.002859712408105070,0.00341363716261864,0.05003881377140470,0.002139609908238170,9.852338799301490,25.005585046347500
0.09,0.005087005039663460,0.0007376346824915080,-0.0012582321122348000,0.10385848822761400,0.0479870055740933,9.67384677151123,25.00628317497180
0.1,0.0030752590052242100,-0.00019631647837546100,-0.0012511634784518200,0.039035287295220400,0.1115941260567450,9.785794784249040,25.006981302830400
0.11,0.0030708443218110300,0.0012492587106119800,-7.12626975365269E-05,-0.039400951958797000,-0.023677149754889900,9.853019954015040,25.007679429838500
0.12,0.004486437809905310,0.001308945943241880,0.001197842675755190,-0.03683051445521610,0.007429215345796070,9.758650966413080,25.00837755591080
0.13,0.00017616221497311000,-0.00306768647298936,0.0010965125139486400,0.005942643856389370,0.04084867843540760,9.798332370698610,25.00907568096240
0.14,0.0005530964764463500,-0.0023750189585360500,0.0034805605538567000,0.1128389262993760,0.006103089508223900,9.832550180796550,25.00977380490810
0.15,0.002878566519816910,-0.0028204654631285100,0.003590226611693550,0.07117713322841770,-0.013855525959739100,9.81326431166437,25.010471927662800
0.16,0.00197768877407365,-0.0033407872007738200,0.0010113311688310200,0.026832500449323400,0.11717634761945800,9.834454474818330,25.011170049141700
0.17,0.0046320551159683800,-0.005680615784821030,0.0005446068472782520,-0.010208737887937400,0.059917407775728600,9.801357867101600,25.011868169259400
0.18,0.0021877217353369100,-0.0020269821784474600,0.002033492864575200,0.018972232115323500,-0.10508434102014400,9.838479269243070,25.01256628793110
0.19,0.0011793719188509100,-0.004568478306407900,0.003126402640103020,0.009462234461520510,0.0678672374956583,9.839657883969920,25.013264405071600
0.2,0.006935486294021890,-0.00206555125894947,0.002104873619955100,0.009145406990688480,0.08001696442505920,9.852700825443170,25.013962520595900
0.21,0.003552845589352610,0.0022344737460097500,0.00013690839321858300,-0.04377036312089480,0.059767633652464800,9.849854724602660,25.01466063441890
0.22,0.004139664033312520,-0.0030156184433703000,-0.00022450772341464600,-0.04470969988928530,0.03753315837888260,9.859257480661300,25.015358746455600
0.23,0.0011553206845593200,-0.0016072406174197100,-0.0012212074369314500,0.016440353717091200,0.07754763666359310,9.785846991295180,25.016056856620800
0.24,0.0029162610403985000,-0.00018335223541552600,0.0013869736951905100,-0.05798253374177310,0.04413134232110140,9.788638804320120,25.01675496482950
0.25,0.004227081100718760,-0.0014359268018688400,0.002246240196639370,-0.031255544840874800,0.028936180512162200,9.820101075932870,25.017453070996700
0.26,0.0017034581976666000,-0.0014114013891079400,0.0024696903862589100,0.001482219405921010,0.006707515045492690,9.907949394673590,25.01815117503740
0.27,0.00475705081975123,-0.0027210350120029000,0.003303520739509800,0.016539705939955100,-0.05358022517957830,9.821407970377070,25.018849276866300
0.28,0.0028045868330819400,-0.0024598464748427700,0.003960619201323870,0.05578746198051680,-0.06863646199383130,9.893887275388600,25.0195473763985
0.29,0.003422686142478120,-0.003915971949665870,-0.0017499312953546700,-0.06265248967291150,0.03864774780436520,9.884014922195290,25.02024547354890
0.3,0.0028028698460109500,-0.0003037212685746860,0.0018095248668626600,-0.06250002064409590,0.03775269294256830,9.884360082703430,25.020943568232500
0.31,0.007711048867127120,-0.005478654981155360,0.001878518978761350,0.065315740651456,-0.0021356708764157800,9.880619589674840,25.021641660364200
0.32,0.003979707475481790,-5.33553732638267E-05,0.0008521071831639950,0.08382451833763790,-0.04283326728587140,9.762569488923230,25.022339749858800
